Generations completed, Solution index, Solution, Cell increments, Fitness
Generations completed, Solution index, Solution, Cell increments, Fitness
 ,0,['X', '0.02'];['Y', '0.039'];['Y', '0.018'];['X', '0.017'];['Y', '0.036'];['X', '0.005'];['X', '0.014'];['Y', '0.029'];['X', '0.016'];['Y', '0.021'];['Y', '0.042'];['X', '0.014'];['Y', '0.027'];['X', '0.025'];['Y', '0.009'];['X', '0.021'];['Y', '0.017'];['X', '0.019'];['X', '0.032'];['X', '0.008'];['Y', '0.033'];['X', '0.013'];['Y', '0.025'];['Y', '0.013'];['Y', '0.002'];['Y', '0.016'];['Y', '0.043'];['Y', '0.008'];['X', '0.003'];['X', '0.01'];['Y', '0.016'];['Y', '0.018'];['X', '0.039'];['Y', '0.002'],1;0;0;2;0;0;0;4;0;0;6;2;2;6;0;0;10;12;2;2;10;8;10;16;16;12;8;11;15;15;24;19;35;28,277
 ,1,['Y', '0.008'];['X', '0.049'];['X', '0.035'];['Y', '0.018'];['Y', '0.027'];['X', '0.013'];['Y', '0.024'];['Y', '0.001'];['X', '0.01'];['Y', '0.023'];['Y', '0.017'];['Y', '0.014'];['Y', '0.04'];['X', '0.007'];['X', '0.029'];['X', '0.006'];['X', '0.006'];['X', '0.025'];['Y', '0.011'];['Y', '0.013'];['Y', '0.042'];['Y', '0.006'];['Y', '0.004'];['X', '0.02'];['X', '0.01'];['Y', '0.038'];['Y', '0.032'];['X', '0.019'];['Y', '0.003'];['X', '0.023'];['X', '0.014'];['X', '0.019'];['Y', '0.037'];['Y', '0.03'],1;0;0;2;0;0;0;4;0;0;5;3;2;5;1;0;9;13;2;3;9;8;10;15;17;13;5;12;19;17;13;23;32;30,274
 ,2,['Y', '0.029'];['X', '0.005'];['X', '0.025'];['X', '0.006'];['X', '0.047'];['X', '0.044'];['Y', '0.017'];['X', '0.037'];['X', '0.029'];['Y', '0.023'];['X', '0.04'];['Y', '0.036'];['Y', '0.004'];['X', '0.034'];['X', '0.029'];['X', '0.038'];['Y', '0.028'];['X', '0.001'];['Y', '0.007'];['X', '0.019'];['X', '0.002'];['Y', '0.027'];['X', '0.02'];['X', '0.028'];['X', '0.027'];['X', '0.014'];['Y', '0.031'];['Y', '0.041'];['X', '0.019'];['Y', '0.021'];['Y', '0.02'];['Y', '0.028'];['X', '0.035'];['Y', '0.013'],1;0;0;2;0;0;0;4;0;0;6;2;1;7;0;0;9;13;2;1;12;5;14;15;15;13;5;12;20;18;19;17;31;24,269
 ,3,['X', '0.014'];['Y', '0.03'];['Y', '0.027'];['X', '0.016'];['Y', '0.044'];['X', '0.049'];['X', '0.041'];['X', '0.014'];['Y', '0.001'];['X', '0.019'];['Y', '0.037'];['X', '0.042'];['X', '0.017'];['Y', '0.043'];['X', '0.021'];['Y', '0.006'];['Y', '0.05'];['Y', '0.031'];['Y', '0.023'];['Y', '0.014'];['Y', '0.021'];['Y', '0.002'];['Y', '0.007'];['X', '0.023'];['X', '0.011'];['X', '0.017'];['X', '0.014'];['Y', '0.017'];['X', '0.01'];['X', '0.044'];['X', '0.047'];['Y', '0.02'];['X', '0.001'];['Y', '0.026'],1;0;0;2;0;0;0;4;0;0;6;2;2;6;0;0;8;15;1;2;11;4;12;18;15;14;5;9;19;18;17;30;21;26,269
 ,4,['Y', '0.021'];['X', '0.043'];['X', '0.012'];['Y', '0.021'];['X', '0.042'];['X', '0.049'];['X', '0.008'];['Y', '0.041'];['Y', '0.011'];['Y', '0.041'];['Y', '0.008'];['X', '0.046'];['X', '0.037'];['Y', '0.009'];['X', '0.033'];['Y', '0.016'];['Y', '0.045'];['Y', '0.045'];['Y', '0.046'];['X', '0.001'];['X', '0.001'];['Y', '0.017'];['Y', '0.041'];['Y', '0.012'];['Y', '0.008'];['X', '0.011'];['Y', '0.006'];['X', '0.022'];['X', '0.021'];['Y', '0.007'];['Y', '0.036'];['X', '0.003'];['X', '0.029'];['X', '0.042'],1;0;0;2;0;0;0;4;0;0;6;2;2;6;0;0;8;15;1;1;14;4;8;17;19;13;3;9;18;22;20;16;32;30,274
 ,5,['X', '0.048'];['Y', '0.04'];['Y', '0.031'];['X', '0.035'];['X', '0.017'];['Y', '0.016'];['X', '0.023'];['X', '0.023'];['X', '0.036'];['Y', '0.025'];['X', '0.039'];['X', '0.022'];['Y', '0.049'];['X', '0.046'];['X', '0.045'];['X', '0.032'];['X', '0.025'];['Y', '0.035'];['Y', '0.02'];['Y', '0.011'];['Y', '0.05'];['Y', '0.002'];['Y', '0.04'];['Y', '0.001'];['X', '0.01'];['Y', '0.044'];['Y', '0.013'];['Y', '0.022'];['X', '0.01'];['X', '0.046'];['Y', '0.04'];['X', '0.031'];['X', '0.044'];['Y', '0.044'],1;0;0;2;0;0;0;4;0;0;5;3;3;5;0;0;7;16;1;1;12;5;11;17;18;12;5;10;15;19;17;29;25;28,272
 ,6,['Y', '0.013'];['X', '0.037'];['X', '0.027'];['X', '0.028'];['Y', '0.026'];['Y', '0.011'];['Y', '0.038'];['X', '0.041'];['X', '0.002'];['X', '0.05'];['X', '0.031'];['Y', '0.047'];['X', '0.029'];['Y', '0.002'];['X', '0.013'];['X', '0.012'];['Y', '0.03'];['X', '0.025'];['Y', '0.011'];['Y', '0.038'];['X', '0.018'];['Y', '0.017'];['X', '0.012'];['Y', '0.015'];['Y', '0.044'];['Y', '0.006'];['X', '0.036'];['Y', '0.016'];['Y', '0.03'];['Y', '0.014'];['X', '0.02'];['X', '0.03'];['Y', '0.044'];['Y', '0.022'],1;0;0;2;0;0;0;4;0;0;5;3;1;7;0;0;9;13;2;2;11;5;13;17;17;8;7;12;20;17;16;19;32;28,272
 ,7,['X', '0.037'];['Y', '0.035'];['X', '0.049'];['X', '0.027'];['X', '0.02'];['X', '0.009'];['X', '0.036'];['Y', '0.015'];['X', '0.046'];['X', '0.04'];['Y', '0.042'];['Y', '0.044'];['Y', '0.044'];['X', '0.037'];['X', '0.048'];['Y', '0.035'];['X', '0.036'];['X', '0.046'];['Y', '0.044'];['Y', '0.041'];['Y', '0.024'];['X', '0.039'];['Y', '0.012'];['X', '0.047'];['Y', '0.02'];['X', '0.017'];['Y', '0.001'];['X', '0.045'];['Y', '0.0'];['Y', '0.021'];['Y', '0.01'];['X', '0.029'];['X', '0.015'];['Y', '0.037'],1;0;0;2;0;0;0;4;0;0;5;3;1;7;0;0;6;16;2;3;11;4;8;22;15;15;1;13;16;21;23;16;28;26,270
 ,1,['X', '0.02'];['Y', '0.039'];['Y', '0.018'];['X', '0.017'];['Y', '0.036'];['X', '0.005'];['X', '0.014'];['Y', '0.029'];['X', '0.016'];['Y', '0.021'];['Y', '0.042'];['X', '0.014'];['X', '0.027'];['X', '0.025'];['Y', '0.009'];['X', '0.021'];['Y', '0.017'];['X', '0.019'];['X', '0.032'];['X', '0.008'];['X', '0.038'];['Y', '0.026'];['Y', '0.041'];['Y', '0.012'];['Y', '0.008'];['X', '0.011'];['Y', '0.006'];['X', '0.007'];['X', '0.002'];['Y', '0.007'];['Y', '0.036'];['X', '0.003'];['X', '0.029'];['X', '0.042'],1;0;0;2;0;0;0;4;0;0;6;2;2;6;0;0;10;12;2;2;9;8;12;14;17;14;3;10;20;21;19;20;24;30,271
 ,2,['Y', '0.021'];['X', '0.043'];['Y', '0.012'];['Y', '0.021'];['X', '0.042'];['X', '0.049'];['X', '0.008'];['Y', '0.041'];['Y', '0.011'];['X', '0.041'];['Y', '0.008'];['X', '0.046'];['X', '0.037'];['Y', '0.009'];['X', '0.033'];['X', '0.016'];['Y', '0.045'];['Y', '0.045'];['Y', '0.046'];['X', '0.001'];['X', '0.001'];['Y', '0.017'];['Y', '0.041'];['Y', '0.012'];['X', '0.008'];['X', '0.011'];['Y', '0.032'];['X', '0.038'];['Y', '0.003'];['X', '0.023'];['X', '0.014'];['X', '0.019'];['Y', '0.031'];['Y', '0.03'],1;0;0;2;0;0;0;4;0;0;6;2;1;7;0;0;7;16;1;0;13;6;10;18;18;10;7;11;15;20;15;23;30;25,269
