Generations completed,Execution Time,CPU Time
Generations completed,Execution Time,CPU Time
1,1701840421.6941774,102.618549841
2,1701868267.0257037,178.548014132
3,1701896256.9414246,255.690700979
4,1701923931.4721017,336.277191181
5,1701951583.6448658,417.257579418
6,1701979080.2838101,497.339287544
7,1702006464.848209,578.137373846
8,1702033694.4336836,660.546114644
9,1702061175.7464502,744.473741471
10,1702088901.0585868,829.071950113
11,1702116239.4817548,913.502051942
12,1702143490.9456575,999.136324559
13,1702170524.2014759,1085.20451173
14,1702197531.7378511,1172.462232419
15,1702224583.853687,1260.533787851
16,1702251656.5943801,1349.593235595
17,1702278717.7929103,1440.307598751
18,1702305988.7169797,1532.239186962
19,1702333317.0521438,1624.459634572
20,1702360536.871987,1717.819249934
21,1702387798.2005727,1812.976610883
22,1702415602.4254541,1910.374634086
