Generations completed,Execution Time,CPU Time
Generations completed,Execution Time,CPU Time
1,1701841004.0165036,204.69638065
2,1701869376.3342075,359.687755002
3,1701897854.2520068,519.068288758
4,1701925966.7903218,687.523931188
5,1701954047.5290828,857.190275913
6,1701981962.819532,1025.146478164
7,1702009681.880805,1195.504380868
8,1702037398.2095828,1368.552989969
9,1702065387.248152,1546.028551365
10,1702093432.9609694,1729.423916567
11,1702121203.7431667,1913.347899249
