Generations completed,Execution Time,CPU Time
Generations completed,Execution Time,CPU Time
1,1701842933.3046582,527.074413908
2,1701872621.7575033,939.148694918
3,1701902403.613417,1365.497416555
4,1701931899.2979712,1821.366877595
