Generations completed
Generations completed
1,278;271;281;272;268;271;270;270
2,281;270;270;276;273;272;273;273
3,281;270;277;271;276;271;277;270
4,281;277;273;277;270;276;271;271
5,281;277;269;273;272;267;272;273
6,281;278;275;269;272;267;273;273
7,281;274;272;276;275;278;275;268
8,281;279;274;274;277;277;272;273
9,281;272;275;271;275;274;273;278
10,281;271;272;271;277;271;275;275
11,281;269;273;271;272;270;277;272
12,281;272;267;276;273;278;274;278
13,281;273;274;275;269;272;272;274
14,281;275;274;271;273;271;271;273
15,281;273;275;277;274;274;274;276
16,281;271;276;274;269;274;274;276
17,281;271;271;274;273;272;271;277
18,281;270;275;267;271;272;264;273
19,281;275;271;269;275;272;277;273
20,281;269;269;271;277;271;275;272
21,281;271;274;270;277;274;273;274
22,281;272;267;271;275;273;270;276
23,281;278;273;271;275;275;272;275
24,281;272;272;275;276;274;268;270
25,281;269;277;272;272;273;269;272
26,281;274;268;272;276;273;276;274
27,281;276;268;274;270;270;269;276
28,281;273;270;272;271;276;270;270
29,281;268;51;275;275;271;272;271
30,281;25;24;128;273;274;271;269
31,281;273;269;276;274;274;279;273
