Generations completed, Solution index, Solution, Cell increments, Fitness
Generations completed, Solution index, Solution, Cell increments, Fitness
 ,5,['X', '0.001'];['Y', '0.007'];['X', '0.019'];['X', '0.002'];['Y', '0.047'];['X', '0.035'];['X', '0.017'];['X', '0.037'];['Y', '0.029'];['Y', '0.023'];['Y', '0.04'];['Y', '0.01'];['Y', '0.004'];['X', '0.043'];['X', '0.021'];['X', '0.006'];['Y', '0.05'],1;2;0;4;0;8;8;0;23;3;16;25;35;8;46;40;52,272
 ,6,['X', '0.014'];['X', '0.03'];['X', '0.027'];['Y', '0.016'];['Y', '0.044'];['Y', '0.049'];['X', '0.017'];['X', '0.014'];['Y', '0.001'];['Y', '0.019'];['X', '0.037'];['Y', '0.042'];['Y', '0.004'];['Y', '0.034'];['Y', '0.029'];['Y', '0.038'];['Y', '0.002'],1;2;0;4;0;8;8;0;22;4;15;26;34;13;37;40;58,273
 ,7,['Y', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['Y', '0.0'];['Y', '0.002'];['X', '0.017'];['Y', '0.027'];['X', '0.014'];['X', '0.031'];['Y', '0.022'];['X', '0.019'];['X', '0.021'];['X', '0.007'];['Y', '0.028'];['Y', '0.035'];['X', '0.013'],1;2;0;4;0;8;8;0;24;2;17;28;28;16;34;46;54,273
2, , , , 
 ,1,['X', '0.001'];['Y', '0.007'];['X', '0.017'];['X', '0.002'];['Y', '0.047'];['X', '0.044'];['X', '0.017'];['X', '0.037'];['X', '0.029'];['Y', '0.023'];['Y', '0.04'];['Y', '0.016'];['X', '0.004'];['Y', '0.034'];['X', '0.005'];['Y', '0.035'];['X', '0.023'],1;2;0;4;0;8;8;0;23;3;18;29;28;10;43;43;49,270
 ,2,['X', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['X', '0.0'];['Y', '0.002'];['X', '0.017'];['Y', '0.027'];['X', '0.014'];['X', '0.031'];['Y', '0.041'];['X', '0.023'];['X', '0.021'];['X', '0.023'];['X', '0.028'];['X', '0.035'];['X', '0.023'],1;2;0;4;0;8;8;0;23;2;19;25;32;14;38;40;60,277
 ,3,['Y', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['Y', '0.025'];['Y', '0.002'];['X', '0.017'];['X', '0.014'];['X', '0.001'];['Y', '0.019'];['X', '0.037'];['Y', '0.042'];['Y', '0.036'];['Y', '0.034'];['Y', '0.029'];['Y', '0.038'];['Y', '0.002'],1;2;0;4;0;8;8;0;24;3;17;27;29;12;41;39;55,271
 ,4,['X', '0.014'];['X', '0.03'];['X', '0.027'];['Y', '0.049'];['Y', '0.044'];['Y', '0.022'];['X', '0.017'];['X', '0.014'];['Y', '0.001'];['Y', '0.019'];['Y', '0.037'];['Y', '0.01'];['Y', '0.039'];['Y', '0.034'];['Y', '0.005'];['Y', '0.038'];['X', '0.028'],1;2;0;4;0;8;8;0;22;5;15;28;30;15;36;40;61,276
 ,5,['X', '0.001'];['Y', '0.007'];['Y', '0.045'];['X', '0.002'];['Y', '0.047'];['Y', '0.002'];['X', '0.017'];['Y', '0.027'];['X', '0.014'];['X', '0.031'];['Y', '0.041'];['X', '0.019'];['X', '0.021'];['X', '0.02'];['X', '0.028'];['Y', '0.035'];['X', '0.046'],1;2;0;4;0;8;8;0;23;2;18;24;34;14;38;37;57,271
 ,6,['X', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['X', '0.0'];['Y', '0.002'];['X', '0.017'];['Y', '0.027'];['X', '0.014'];['X', '0.031'];['Y', '0.041'];['X', '0.019'];['X', '0.032'];['X', '0.007'];['Y', '0.028'];['Y', '0.035'];['Y', '0.025'],1;2;0;4;0;8;8;0;23;2;19;25;32;14;38;36;64,277
 ,7,['X', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['Y', '0.0'];['Y', '0.002'];['X', '0.017'];['Y', '0.027'];['Y', '0.014'];['Y', '0.019'];['X', '0.037'];['Y', '0.042'];['X', '0.004'];['Y', '0.034'];['Y', '0.035'];['Y', '0.038'];['Y', '0.002'],1;2;0;4;0;8;8;0;23;2;18;27;29;15;38;47;47,270
 ,1,['X', '0.001'];['Y', '0.007'];['X', '0.017'];['X', '0.002'];['Y', '0.047'];['X', '0.044'];['X', '0.017'];['X', '0.037'];['X', '0.029'];['Y', '0.023'];['Y', '0.04'];['Y', '0.016'];['X', '0.004'];['Y', '0.034'];['X', '0.005'];['Y', '0.035'];['X', '0.023'],1;2;0;4;0;8;8;0;23;3;18;29;28;10;43;43;49,270
 ,2,['X', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['X', '0.0'];['Y', '0.002'];['X', '0.017'];['Y', '0.027'];['X', '0.014'];['X', '0.031'];['Y', '0.041'];['X', '0.023'];['X', '0.021'];['X', '0.023'];['X', '0.028'];['X', '0.035'];['X', '0.023'],1;2;0;4;0;8;8;0;23;2;19;25;32;14;38;40;60,277
 ,3,['Y', '0.029'];['Y', '0.019'];['Y', '0.025'];['X', '0.006'];['Y', '0.025'];['Y', '0.002'];['X', '0.017'];['X', '0.014'];['X', '0.001'];['Y', '0.019'];['X', '0.037'];['Y', '0.042'];['Y', '0.036'];['Y', '0.034'];['Y', '0.029'];['Y', '0.038'];['Y', '0.002'],1;2;0;4;0;8;8;0;24;3;17;27;29;12;41;39;55,271
